Scene Number,Scene Name,Split,Instruction Type,Instruction,Annotator,Source Row
8,scene-0008,trainval,unknown,turn left,Annotator 3,419
9,scene-0009,trainval,unknown,Continue going straight.,Annotator 2,10
10,scene-0010,trainval,s,Switch to the left lane after passing the final obstructing car parked on the left lane.,Annotator 5,14
10,scene-0010,trainval,s,Turn right and then continue going straight. Merge onto the left lane once the trucks clear up.,Annotator 2,11
10,scene-0010,trainval,s,"complete the right turn, then switch into the left lane",Annotator 3,421
10,scene-0010,trainval,unknown,switch to the left lane,Annotator 4,11
11,scene-0011,trainval,ds,Avoid the vehicle and obstructions in front of you by getting onto the middle of the road. Drive slowly and go back to the original lane once obstructions clear.,Annotator 5,15
11,scene-0011,trainval,s,Drive around the road obstruction,Annotator 4,12
11,scene-0011,trainval,s,Turn and split the lanes in order to avoid the trucks. Get back onto our side once the construction clears up.,Annotator 2,12
11,scene-0011,trainval,s,turn left then go around the parked cars,Annotator 3,422
12,scene-0012,trainval,d,Slow down when the  orange bus turns into your lane.,Annotator 5,17
12,scene-0012,trainval,unknown,Continue going straight.,Annotator 2,13
13,scene-0013,trainval,d,Follow the orange bus.,Annotator 5,18
13,scene-0013,trainval,d,Follow yellow bus.,Annotator 2,15
13,scene-0013,trainval,unknown,Continue going on the same lane,Annotator 2,14
14,scene-0014,trainval,d,Follow the orange bus.,Annotator 5,19
14,scene-0014,trainval,d,Follow yellow bus.,Annotator 2,17
14,scene-0014,trainval,d,continue straight when vehicle in front starts continuing straight,Annotator 4,15
14,scene-0014,trainval,d,follow the orange bus,Annotator 3,425
14,scene-0014,trainval,unknown,Continue going on the same lane,Annotator 2,16
15,scene-0015,trainval,d,Follow the orange bus.,Annotator 5,20
15,scene-0015,trainval,d,Follow yellow bus.,Annotator 2,19
15,scene-0015,trainval,unknown,Continue going on the same lane,Annotator 2,18
16,scene-0016,trainval,s,Turn left and then continue going straight. Move on to the other lane when the FedEx truck is blocking our lane.,Annotator 2,20
16,scene-0016,trainval,s,"Turn left, switch to the right lane when you see the stationary white truck",Annotator 5,21
16,scene-0016,trainval,s,"turn left , Drive around the road obstruction",Annotator 4,17
16,scene-0016,trainval,s,turn left and move around the parked vehicles,Annotator 3,427
17,scene-0017,trainval,d,Stop when the people are crossing the road,Annotator 5,23
17,scene-0017,trainval,d,"switch lanes to the left lane, stop for incoming pedestrians",Annotator 4,18
17,scene-0017,trainval,s,Switch to the left lane when it appears,Annotator 5,22
17,scene-0017,trainval,s,slide into the left turning lane and then stop at the zebra crossing,Annotator 3,428
17,scene-0017,trainval,sd,Continue going straight and then change lanes to take a left. Wait for people to finish crossing,Annotator 2,21
18,scene-0018,trainval,s,Merge on to the lane in front and then take the left turn.,Annotator 2,22
18,scene-0018,trainval,s,complete the left turn then enter the building horshoe,Annotator 3,429
18,scene-0018,trainval,s,"make a left turn and drive aroudn road obstructions, turn left",Annotator 4,19
18,scene-0018,trainval,unknown,"Turn left, then turn left again when you can",Annotator 5,24
19,scene-0019,trainval,d,Stop when you see the group of people at the stopwalk,Annotator 5,27
19,scene-0019,trainval,sd,Take a left turn and then continue going straight. Watch out for people crossing. Start moving to the left.,Annotator 2,23
19,scene-0019,trainval,sd,"turn left, make another left turn.",Annotator 4,20
19,scene-0019,trainval,unknown,Turn left,Annotator 5,25
19,scene-0019,trainval,unknown,turn left,Annotator 3,430
20,scene-0020,trainval,d,Turn to the right once the car has passed through,Annotator 5,28
20,scene-0020,trainval,d,Wait for the black car to pass and then go straight and take a right. Then continue going straight.,Annotator 2,24
20,scene-0020,trainval,s,turn right at the intersection when it is safe,Annotator 3,431
20,scene-0020,trainval,unknown,Turn right into the road when traffic is clear,Annotator 4,21
21,scene-0021,trainval,d,Turn right into the road when traffic is clear,Annotator 4,22
21,scene-0021,trainval,d,Turn right once the car has passed through the intersection,Annotator 5,29
21,scene-0021,trainval,d,Wait for the cars to pass and the people to cross. Then move slowly and take a right turn.,Annotator 2,25
21,scene-0021,trainval,s,turn right at the intersection when it is safe,Annotator 3,432
22,scene-0022,trainval,s,Switch to the left lane and continue going straight. Then take a left turn.,Annotator 2,26
22,scene-0022,trainval,s,Switch to the right lane when you see the stationary car ahead.,Annotator 5,32
22,scene-0022,trainval,s,slide into the left lane then turn left at the intersection,Annotator 3,433
22,scene-0022,trainval,unknown,Switch to the left lane,Annotator 5,30
22,scene-0022,trainval,unknown,Take the first left,Annotator 5,31
22,scene-0022,trainval,unknown,"switch to the left lane, make a left turn.",Annotator 4,23
23,scene-0023,trainval,s,Drive around road blockages,Annotator 4,24
23,scene-0023,trainval,s,Go to the left lane after you pass the car,Annotator 5,33
23,scene-0023,trainval,s,Quickly switch lanes to avoid the car in the road and then continue going straight in the same lane.,Annotator 2,27
24,scene-0024,trainval,d,Continue going straight and merge onto the upcoming lane. Watch out for people crossing.,Annotator 2,28
24,scene-0024,trainval,d,"stop for incoming traffic, if clear continue straight.",Annotator 4,25
24,scene-0024,trainval,ds,Come to a full stop before entering the intersection. Then merge onto the road if no cars are coming.,Annotator 5,35
24,scene-0024,trainval,unknown,"stop at the intersection, then continue going straight",Annotator 3,435
25,scene-0025,trainval,d,Wait for the person and car to cross. Then take a right turn.,Annotator 2,29
25,scene-0025,trainval,d,"Wait for the person to cross the street and for the car to pass through the intersection, then turn right.",Annotator 5,36
25,scene-0025,trainval,d,"stop for incoming traffic and pedestrians, once clear move straight.",Annotator 4,26
25,scene-0025,trainval,d,turn right after the pedestrian finishes crossing,Annotator 3,436
26,scene-0026,trainval,d,"Go on the right side of the car that is partially blocking the lane, then proceed back onto the left lane.",Annotator 5,37
26,scene-0026,trainval,s,"Drive around the vehicles blocking the road, come to a complete stop behind stop vehicle.",Annotator 4,27
26,scene-0026,trainval,s,Quickly change lanes to avoid the car then get back to the left lane and continue going straight. Slow down behind the person in the motorcycle.,Annotator 2,30
26,scene-0026,trainval,s,swerve around the parked cars,Annotator 3,437
27,scene-0027,trainval,d,Wait for the motorcycle person to pass and then take a right turn and go straight.,Annotator 2,31
27,scene-0027,trainval,d,once vehicle begins to move turn to the right,Annotator 4,28
27,scene-0027,trainval,d,"when the bike moves out of the way, turn right at the intersection",Annotator 3,438
27,scene-0027,trainval,s,Turn to the far right lane,Annotator 5,38
28,scene-0028,trainval,s,Switch lanes and then go back to the orginal lane. Then wait at the stop lights. Wait for the people crossing.,Annotator 2,32
28,scene-0028,trainval,s,"Switch partially to the right lane before reaching the car in front, and then stop at the stoplight.",Annotator 5,39
28,scene-0028,trainval,s,swerve around the parked cars then stop at the intersection,Annotator 3,439
28,scene-0028,trainval,sd,Drive around the road obstruction.,Annotator 4,29
29,scene-0029,trainval,unknown,Just wait for the lights.,Annotator 2,33
30,scene-0030,trainval,d,turn to the right once traffic is clear,Annotator 4,31
30,scene-0030,trainval,s,stop at the intersections,Annotator 3,441
30,scene-0030,trainval,unknown,Go straight on the lane. Then wait for a little bit before taking a left.,Annotator 2,34
30,scene-0030,trainval,unknown,Turn left slowly at the intersection,Annotator 5,41
31,scene-0031,trainval,unknown,Follow the current lane.,Annotator 2,35
32,scene-0032,trainval,d,"turn left, turn left again.",Annotator 4,33
32,scene-0032,trainval,unknown,Take a left turn and merge onto the new road. Then continue on the new lane.,Annotator 2,36
32,scene-0032,trainval,unknown,Take the very first left,Annotator 5,43
32,scene-0032,trainval,unknown,turn left,Annotator 3,443
33,scene-0033,trainval,d,Continue going on the same lane. Slow down for the bust in front.,Annotator 2,37
33,scene-0033,trainval,d,Slow down when you are close to the large vehicle in front.,Annotator 5,45
34,scene-0034,trainval,s,Continue on the same lane. Move to the next lane to avoid the truck and then get back onto the previous lane.,Annotator 2,38
34,scene-0034,trainval,s,Drive around the road obstruction,Annotator 4,35
34,scene-0034,trainval,s,"Slightly go on the right lane, across the double marked lines, to avoid hitting the truck in front, then go back to the left lane.",Annotator 5,46
35,scene-0035,trainval,unknown,Continue straight on the same lane.,Annotator 2,39
36,scene-0036,trainval,s,follow the road,Annotator 1,2
36,scene-0036,trainval,unknown,Continue on the same lane.,Annotator 2,40
38,scene-0038,trainval,d,Follow the gray car.,Annotator 2,42
38,scene-0038,trainval,s,"After passig the obstruction on the left side of the road, merge back onto the left lane",Annotator 5,50
38,scene-0038,trainval,s,Drive around the road blockages,Annotator 4,38
38,scene-0038,trainval,s,Split the lane to avoid the trucks on the side of the road.,Annotator 2,43
38,scene-0038,trainval,sd,"follow the car ahead, avoid and drive around the vehicles on the side of the road",Annotator 1,3
39,scene-0039,trainval,unknown,Continue straight,Annotator 2,44
41,scene-0041,trainval,s,Switch to the rightmost lane,Annotator 5,53
41,scene-0041,trainval,s,Take a left turn and the continue going straight. Stop behind the white car.,Annotator 2,45
41,scene-0041,trainval,s,Turn left onto the leftmost lane,Annotator 5,52
41,scene-0041,trainval,s,turn left at the intersection and merge onto the far right lane,Annotator 1,5
41,scene-0041,trainval,s,"turn left at the intersection, then slide into the right most lane, then stop at the intersection",Annotator 3,450
41,scene-0041,trainval,s,"turn left, switch lanes all the way to right, stop behind the car",Annotator 4,40
42,scene-0042,trainval,s,Continue going straight and move slightly right to avoid the truck on your left.,Annotator 2,46
42,scene-0042,trainval,s,Go back onto the left lane,Annotator 5,56
42,scene-0042,trainval,s,Keep staying on the right side to avoid hitting the second car on the left side of your lane,Annotator 5,55
42,scene-0042,trainval,s,Stay on the right side of the lane to avoid hitting the car on your left side of the lane,Annotator 5,54
42,scene-0042,trainval,s,"go straight, move away slightly from parked vehicles",Annotator 1,6
43,scene-0043,trainval,d,Slow down when you see when group of individuals crossing the street.,Annotator 5,57
43,scene-0043,trainval,s,Keep going straight and then stop at the stop light.,Annotator 2,47
43,scene-0043,trainval,s,stop at the intersection,Annotator 3,452
44,scene-0044,trainval,d,Slow down when the white truck turns left,Annotator 5,59
44,scene-0044,trainval,s,go straight,Annotator 3,453
44,scene-0044,trainval,sd,slow down at the intersection and wait for the white truck to turn then continue,Annotator 1,8
44,scene-0044,trainval,unknown,Keep going straight and follow the same lane.,Annotator 2,48
45,scene-0045,trainval,d,Pass the toll gate when the gate opens,Annotator 5,62
45,scene-0045,trainval,d,Stop at the toll gate once the car ahead passes through it,Annotator 5,61
45,scene-0045,trainval,d,continue forward once gate opens,Annotator 4,44
45,scene-0045,trainval,s,"stop at the barricade, once the arm is lifted proceed",Annotator 3,454
45,scene-0045,trainval,sd,Move slowly forward and stop behind the car in front of you. Stop in front of the crossing guard. Move once the crossing guard goes up.,Annotator 2,49
46,scene-0046,trainval,s,stop at the intersection,Annotator 3,455
47,scene-0047,trainval,s,continue straight at the intersection,Annotator 1,11
48,scene-0048,trainval,d,Slow down when the person crosses the road,Annotator 5,65
48,scene-0048,trainval,s,"at the end of the construction turn right at the intersection, merge onto the left lane",Annotator 1,12
48,scene-0048,trainval,s,"turn right on the T-junction, then slide into the leftmost lane",Annotator 3,457
48,scene-0048,trainval,sd,Slow down and watch the pedestrian and the turn right and continue going straight,Annotator 2,52
48,scene-0048,trainval,unknown,Turn right at the intersection,Annotator 5,66
48,scene-0048,trainval,unknown,"make a right turn, switch to the left lane",Annotator 4,47
49,scene-0049,trainval,s,Keeping going straight then at the next turn take a left,Annotator 2,53
49,scene-0049,trainval,s,Take the very first left and stay on the leftmost lane,Annotator 5,67
49,scene-0049,trainval,s,turn left at the intersection,Annotator 3,458
49,scene-0049,trainval,s,turn left at the intersection and continue straight,Annotator 1,13
49,scene-0049,trainval,unknown,turn left,Annotator 4,48
50,scene-0050,trainval,s,Keep going straight and then take the first left,Annotator 2,54
50,scene-0050,trainval,s,take the next left turn,Annotator 1,14
50,scene-0050,trainval,s,turn right at the intersection,Annotator 3,459
50,scene-0050,trainval,unknown,Take the very first left and go straight,Annotator 5,68
50,scene-0050,trainval,unknown,turn left,Annotator 4,49
51,scene-0051,trainval,s,"Drive around road blockages, come to a complete stop then continue straight.",Annotator 4,50
51,scene-0051,trainval,s,"Go on the right side of the parked cars, then go back to the lane once it's clear",Annotator 5,69
51,scene-0051,trainval,s,Stop right before the intersection,Annotator 5,70
51,scene-0051,trainval,s,Switch lanes temporarily and then go back to the left lane and wait,Annotator 2,55
51,scene-0051,trainval,s,"swerve around the parked cars then stop at the intersection, then move forward",Annotator 3,460
51,scene-0051,trainval,sd,drive around the parked cars on the left and continue straight,Annotator 1,15
52,scene-0052,trainval,d,Stay on the left side of the car approaching you,Annotator 5,71
52,scene-0052,trainval,ds,Turn left at the intersection,Annotator 5,73
52,scene-0052,trainval,s,"Stay in the middle of the road to avoid the vehicle on the left and right side of the road, then go back on the left side.",Annotator 5,72
52,scene-0052,trainval,s,turn left  at the intersection,Annotator 3,461
52,scene-0052,trainval,sd,Slow down and avoid the white car. Switch lanes to avoid the car in front and then take a left turn at the end of the street,Annotator 2,56
52,scene-0052,trainval,sd,"slow down as you approach the white car and continue along the road driving around any parked cars , take a left at the end of the road",Annotator 1,16
52,scene-0052,trainval,sd,"slow down for incoming vehicle, avoid road obstruction, come to a complete stop then turn left.",Annotator 4,51
53,scene-0053,trainval,d,follow the white sedan ahead of you in your lane,Annotator 1,17
54,scene-0054,trainval,s,"Stay in the middle of the lane to avoid the vehicles on the left and right sides of the road, but then proceed to switching to the left lanes ones the cars on the left clear.",Annotator 5,76
54,scene-0054,trainval,s,"turn left, avoid road obstruction",Annotator 4,53
54,scene-0054,trainval,s,turn right at the intersection,Annotator 3,463
54,scene-0054,trainval,sd,Take a left turn and aviad the cars and trucks  to the left. Split the lane until the trucks clear up.,Annotator 2,58
54,scene-0054,trainval,sd,turn left at the end of the intersection and drive around avoiding parked trucks on the road,Annotator 1,18
54,scene-0054,trainval,unknown,Make a left turn,Annotator 5,75
55,scene-0055,trainval,d,follow the gray car ahead and turn right at the same intersection as it,Annotator 1,19
56,scene-0056,trainval,d,Take the right turn that the grey vehicle in front of you takes.,Annotator 5,79
56,scene-0056,trainval,s,Continue going straight and then take the first right turn when available,Annotator 2,60
56,scene-0056,trainval,s,"turn left, then turn right at the intersection",Annotator 3,465
56,scene-0056,trainval,unknown,Follow the road.,Annotator 5,78
56,scene-0056,trainval,unknown,turn right,Annotator 4,55
57,scene-0057,trainval,d,"Go straight, even once you see the individual crossing the crosswalk. Once passed the crosswalk, switch to the left lane.",Annotator 5,80
57,scene-0057,trainval,s,Take a right turn and then continue going straight.,Annotator 2,61
57,scene-0057,trainval,s,"turn right, then slide into the left lane",Annotator 3,466
57,scene-0057,trainval,unknown,switch to the left lane,Annotator 4,56
58,scene-0058,trainval,s,Keep going straight and then switch to the left lane and take a left.,Annotator 2,62
58,scene-0058,trainval,s,Switch to the left lane once passing the parked vehicles that are on the left lane. Then take the first left,Annotator 5,81
58,scene-0058,trainval,s,slide into the left lane then turn left.,Annotator 3,467
58,scene-0058,trainval,unknown,"switch to the left lane, turn left",Annotator 4,57
58,scene-0058,trainval,unknown,turn left at the intersection,Annotator 1,22
60,scene-0060,trainval,d,Start moving forward slowly when the vehicle in front of you starts to move.,Annotator 5,83
60,scene-0060,trainval,unknown,wait for the prius to move forward,Annotator 1,24
61,scene-0061,trainval,d,Follow the vehicle in front of you.,Annotator 5,85
61,scene-0061,trainval,d,Follow the white van.,Annotator 2,66
61,scene-0061,trainval,s,Take the left turn and merge on to the road.,Annotator 2,65
61,scene-0061,trainval,s,slide into the left turing lane then turn left,Annotator 3,470
61,scene-0061,trainval,unknown,Switch to the left lane.,Annotator 5,84
61,scene-0061,trainval,unknown,turn left,Annotator 4,60
61,scene-0061,trainval,unknown,turn left follow the white van,Annotator 1,25
62,scene-0062,trainval,s,Keep going straight and then switch to the left lane,Annotator 2,67
62,scene-0062,trainval,unknown,merge one lane over to the left,Annotator 1,26
62,scene-0062,trainval,unknown,side to the left lane,Annotator 3,471
62,scene-0062,trainval,unknown,switch to the left lane,Annotator 4,61
63,scene-0063,trainval,d,Follow the vehicle in front of you.,Annotator 5,88
63,scene-0063,trainval,s,Stop right before the intersection.,Annotator 5,87
63,scene-0063,trainval,unknown,"slow down and stop, once road is clear continue straight.",Annotator 4,62
63,scene-0063,trainval,unknown,stop at the intersection then proceed with caution,Annotator 3,472
65,scene-0065,trainval,s,Take the right turn and then keep going straight.,Annotator 2,70
65,scene-0065,trainval,s,turn right at the intersection,Annotator 3,474
65,scene-0065,trainval,unknown,Make a right turn and go straight,Annotator 5,90
65,scene-0065,trainval,unknown,take a right here and continue straight,Annotator 1,29
65,scene-0065,trainval,unknown,turn right,Annotator 4,64
66,scene-0066,trainval,d,"Slowly move forward when there are no cars approaching from behind, but stop once cars are nearby.",Annotator 5,92
66,scene-0066,trainval,d,check for incoming vehicles on left lane,Annotator 4,65
66,scene-0066,trainval,d,wait until there are no vehicles approaching from behind,Annotator 1,30
67,scene-0067,trainval,d,"Stop right before the crosswalk to let the individual pass, then proceed as normal after.",Annotator 5,94
67,scene-0067,trainval,d,Switch to the left lane once it is clear.,Annotator 5,93
67,scene-0067,trainval,d,"switch to left lane, stop for incoming pedestrian, once clear continue straight.",Annotator 4,66
67,scene-0067,trainval,s,slide into the left lane,Annotator 3,476
67,scene-0067,trainval,sd,",merge onto the main road and stop at the cross walk and wait for pedestrian to cross",Annotator 1,31
67,scene-0067,trainval,sd,Switch to the left lane and then keep going straight. Stop for the pedestrian. Then continue going straight.,Annotator 2,72
68,scene-0068,trainval,d,Make a left turn once all cars from the left side have turned compeltely.,Annotator 5,95
68,scene-0068,trainval,d,"sow down to avoid hitting the truck, then turn left",Annotator 3,477
68,scene-0068,trainval,s,Keep going straight and then take a left.,Annotator 2,73
68,scene-0068,trainval,unknown,turn left,Annotator 4,67
68,scene-0068,trainval,unknown,turn left at the intersection,Annotator 1,32
69,scene-0069,trainval,s,turn left at the intersection,Annotator 3,478
69,scene-0069,trainval,unknown,turn left,Annotator 4,68
69,scene-0069,trainval,unknown,turn left here continue straight,Annotator 1,33
70,scene-0070,trainval,s,Keep going straight and then take a left.,Annotator 2,75
70,scene-0070,trainval,s,turn left at the intersection,Annotator 3,479
70,scene-0070,trainval,unknown,Make a left turn at the intersection,Annotator 5,97
70,scene-0070,trainval,unknown,turn left,Annotator 4,69
71,scene-0071,trainval,s,Follow the road and then take a left to avoid the construction vehicle ahead.,Annotator 2,76
71,scene-0071,trainval,s,"When you see the construction in front of you, take the first left.",Annotator 5,98
71,scene-0071,trainval,s,follow the road to the left and continue left at any obstructions,Annotator 1,34
71,scene-0071,trainval,s,turn left at the intersection,Annotator 3,480
71,scene-0071,trainval,unknown,turn left,Annotator 4,70
72,scene-0072,trainval,d,Make a right turn when the white vehicle passes you from the left.,Annotator 5,99
72,scene-0072,trainval,d,turn right at the intersection when no vehicles are approaching,Annotator 1,35
72,scene-0072,trainval,d,wait for incoming traffic then turn right,Annotator 4,71
72,scene-0072,trainval,s,Take a right turn and then continue.,Annotator 2,77
72,scene-0072,trainval,s,stop at the intersection then turn right,Annotator 3,481
73,scene-0073,trainval,s,Go straight and then take a right turn.,Annotator 2,78
73,scene-0073,trainval,s,stop at the intersection then turn right,Annotator 3,482
73,scene-0073,trainval,s,stop at the stop sign  and turn right,Annotator 1,36
73,scene-0073,trainval,unknown,Turn right.,Annotator 5,101
73,scene-0073,trainval,unknown,turn right,Annotator 4,72
74,scene-0074,trainval,d,Make a left turn when all vehicles from the left side pass by.,Annotator 5,102
74,scene-0074,trainval,d,let the car in the front pass then turn left,Annotator 3,483
74,scene-0074,trainval,s,Take a left turn and merge onto the road and then continue going straight.,Annotator 2,79
74,scene-0074,trainval,unknown,turn left,Annotator 4,73
74,scene-0074,trainval,unknown,turn left when no vehicle are approaching  from either side of the road,Annotator 1,37
76,scene-0076,trainval,s,Take a right and then take another right.,Annotator 2,81
76,scene-0076,trainval,s,"turn right, then turn right at the next intersection",Annotator 3,485
76,scene-0076,trainval,unknown,Make a right turn.,Annotator 5,104
76,scene-0076,trainval,unknown,Make another right turn.,Annotator 5,105
76,scene-0076,trainval,unknown,take two immediate right turns,Annotator 1,39
76,scene-0076,trainval,unknown,"turn right, turn right",Annotator 4,75
92,scene-0092,trainval,sd,continue straight and move away from obstacles and pedestrians,Annotator 1,40
93,scene-0093,trainval,s,turn right at the intersection,Annotator 3,487
93,scene-0093,trainval,unknown,Make a right turn into the middle lane and go straight,Annotator 5,107
93,scene-0093,trainval,unknown,Take a right turn and then continue going straight.,Annotator 2,83
93,scene-0093,trainval,unknown,turn right,Annotator 4,77
93,scene-0093,trainval,unknown,turn right and continue straight,Annotator 1,41
94,scene-0094,trainval,ds,Stop behind the vehicle in front of you.,Annotator 5,108
94,scene-0094,trainval,s,stop at the intersection behind the car,Annotator 3,488
94,scene-0094,trainval,unknown,slow down,Annotator 4,78
95,scene-0095,trainval,d,"once vehicle in front moves, continue straight",Annotator 4,79
95,scene-0095,trainval,ds,Start moving forward when the vehicle in front of you starts to go forward.,Annotator 5,109
96,scene-0096,trainval,d,follow the white car ahead,Annotator 1,44
97,scene-0097,trainval,d,follow the white car ahead,Annotator 1,45
97,scene-0097,trainval,d,"once vehicle in front moves, continue straight",Annotator 4,81
97,scene-0097,trainval,d,start moving when the car in front starts moving,Annotator 3,491
97,scene-0097,trainval,ds,Start moving forward when the vehicle in front of you starts to go forward.,Annotator 5,111
99,scene-0099,trainval,d,"once there is no vehicles in the left lane, switch to the left lane.",Annotator 4,83
99,scene-0099,trainval,d,slide into the left lane when there are no cars in the way,Annotator 3,493
99,scene-0099,trainval,s,Switch to the left lane and then keep going straight.,Annotator 2,89
99,scene-0099,trainval,sd,merge onto the left lane when no vehicles are approaching from behind,Annotator 1,47
99,scene-0099,trainval,unknown,"Switch to the left lane once it is clear to switch, and then go striaght.",Annotator 5,113
100,scene-0100,trainval,d,Wait until the car in front of you starts moving and make sure that the signal is green,Annotator 3,3
100,scene-0100,trainval,s,Keep going straight and then switch to the right lane after the light.,Annotator 2,90
101,scene-0101,trainval,d,"Wait untill the signal turns green, let the car in front of you start moving, once you have started moving slide into the right lane while avoiding collision with the construction equipment on the side of the road",Annotator 3,4
101,scene-0101,trainval,d,follow the car ahead and go straight,Annotator 1,49
101,scene-0101,trainval,d,"once vehicle in front moves, continue straight",Annotator 4,85
101,scene-0101,trainval,s,Switch to the right lane once you pass all objstructions on the right side of the road.,Annotator 5,116
101,scene-0101,trainval,s,Turn right and then continue going left.,Annotator 2,91
102,scene-0102,trainval,d,"Keep going straight, but wait for the black van to merge on to the road.",Annotator 2,92
102,scene-0102,trainval,ds,"Make sure there is no one person on the zebra crossing in front of you, and make that the signal is green, then turn right make sure there's no one on the second zebra crossing, continue turing right until you have entered the lane",Annotator 3,5
102,scene-0102,trainval,unknown,Make a right turn and go straight.,Annotator 5,117
102,scene-0102,trainval,unknown,turn right,Annotator 4,86
102,scene-0102,trainval,unknown,turn right continue straight,Annotator 1,50
103,scene-0103,trainval,d,"Pass through the yellow light, wait for the black SUV to join the lane, once it joins the lane continue driving",Annotator 3,6
103,scene-0103,trainval,d,Slow down when the car from the left hand side starts to turn onto the road.,Annotator 5,119
103,scene-0103,trainval,d,slow down for incoming vehicle,Annotator 4,87
103,scene-0103,trainval,s,"Keep going straight, slow down for the black van to merge",Annotator 2,93
104,scene-0104,trainval,ds,"make sure that the signal light in front of you is green, when the car in front of you starts moving you can start moving, continue driving in the same lane",Annotator 3,7
105,scene-0105,trainval,d,Keep a distance between the car in front of you.,Annotator 5,122
105,scene-0105,trainval,d,continue following the white car ahead,Annotator 1,53
105,scene-0105,trainval,s,slide into the left-most lane and coninue driving in that lane,Annotator 3,8
106,scene-0106,trainval,d,"continue driving in the leftmost lane, when the car in front of you begins to slowdown, you slowdown as well",Annotator 3,9
107,scene-0107,trainval,d,Slow down a little to allow the bus to merge,Annotator 2,97
107,scene-0107,trainval,unknown,continue straight,Annotator 1,55
107,scene-0107,trainval,unknown,go straight,Annotator 3,10
108,scene-0108,trainval,d,Make a right turn after the vehicle form the left side has passed.,Annotator 5,125
108,scene-0108,trainval,d,turn right when no vehicles are approaching,Annotator 1,56
108,scene-0108,trainval,d,wait for the white car to pass when the road is clear turn right,Annotator 3,11
108,scene-0108,trainval,sd,Wait for cars to pass and then turn right and keep going straight,Annotator 2,98
108,scene-0108,trainval,unknown,wait for incoming traffic then turn right,Annotator 4,92
109,scene-0109,trainval,s,Keep going straight around the roundabout,Annotator 2,99
109,scene-0109,trainval,s,enter the roundabout and exit out the first turn,Annotator 1,57
109,scene-0109,trainval,unknown,Enter the round about and keep going straight,Annotator 3,12
109,scene-0109,trainval,unknown,Go about the roundabout and keep going straight,Annotator 5,126
110,scene-0110,trainval,unknown,go straight,Annotator 3,13
120,scene-0120,trainval,d,"Stop right before the closed toll gate, then slowly go straight when it opens",Annotator 5,128
120,scene-0120,trainval,d,"slow down at gate, once it opens continue straight",Annotator 4,95
120,scene-0120,trainval,s,Keep going straight and slow down for the bump,Annotator 2,101
120,scene-0120,trainval,s,"continue going straight in the left most lane, wait for the gate to open, once open drive",Annotator 3,14
121,scene-0121,trainval,s,continue straight stay on the right lane,Annotator 1,60
121,scene-0121,trainval,unknown,continue driving in the rightmost lane,Annotator 3,15
122,scene-0122,trainval,d,"stop for incoming traffic, turn right",Annotator 4,97
122,scene-0122,trainval,s,Keep going straight and wait for the other vehicles to pass before turning right,Annotator 2,103
122,scene-0122,trainval,unknown,Make a right turn.,Annotator 5,131
122,scene-0122,trainval,unknown,"Stop at the intersection, turn right",Annotator 3,16
122,scene-0122,trainval,unknown,turn right when no vehicles are approaching,Annotator 1,61
123,scene-0123,trainval,s,"Immediately after passing the parked truck on the left side of the road, switch to the left lane and make the turn.",Annotator 5,132
123,scene-0123,trainval,s,Merge to left lane and continue on that lane,Annotator 2,104
123,scene-0123,trainval,s,"slide into the left-most lane and cexit from the main road, then continue to drive straight",Annotator 3,17
123,scene-0123,trainval,sd,merge into the left only lane after passing the parked truck and take the left turn,Annotator 1,62
123,scene-0123,trainval,unknown,switch to left lane,Annotator 4,98
124,scene-0124,trainval,unknown,go straight,Annotator 3,18
125,scene-0125,trainval,ds,slide into the left lane and stop at the intersection to let the pedestrians pass.,Annotator 3,19
125,scene-0125,trainval,s,Stop at the next left turn,Annotator 2,106
125,scene-0125,trainval,unknown,"Before reaching the intersection, switch to the left lane.",Annotator 5,134
125,scene-0125,trainval,unknown,"switch to left lane, stop at intersection",Annotator 4,100
125,scene-0125,trainval,unknown,turn left at the end of the road,Annotator 1,64
126,scene-0126,trainval,d,Take a left after the white vehicle has passed by.,Annotator 5,136
126,scene-0126,trainval,d,Take the same right turn as the vehicle in front.,Annotator 5,137
126,scene-0126,trainval,d,"slow down, then turn right once near the broken line section in the middle of the road",Annotator 3,21
126,scene-0126,trainval,d,turn left once the the car in front of you has passed,Annotator 3,20
126,scene-0126,trainval,s,Take a left turn and keep going straight and take the next right,Annotator 2,107
126,scene-0126,trainval,sd,turn left when no vehicles are approaching and follow the white car ahead turn right,Annotator 1,65
126,scene-0126,trainval,unknown,"turn left, turn right",Annotator 4,101
127,scene-0127,trainval,d,"slow down for oncoming pedestrians and traffic, continue straight once clear.",Annotator 4,102
127,scene-0127,trainval,ds,"Once the gate opens, slowly proceed and continue straight while avoiding the obstacles around.",Annotator 5,138
127,scene-0127,trainval,s,go straight drive around any parked vehicles or pedestrians,Annotator 1,66
127,scene-0127,trainval,s,"wait for the gate to open, then proceed slowly",Annotator 3,22
127,scene-0127,trainval,sd,Wait for the bar to raise and the go slowly straight.,Annotator 2,108
128,scene-0128,trainval,s,slow down at the zebra Crossing,Annotator 3,23
129,scene-0129,trainval,s,Take a right turn and keep going straight,Annotator 2,110
129,scene-0129,trainval,s,"continue driving on the road, then stop at the zebra crossing and go straight.",Annotator 3,24
129,scene-0129,trainval,unknown,turn right,Annotator 4,104
