Scene Number,Instruction Type,Instruction
210.0,s,Slow down and move little to the left to avoid the other trucks and then turn left
210.0,,Drive around the vehicle slightly on your lane and take a left at the end of the road.
210.0,s,"slow down near the intersection, once you cross the intersection turn left."
210.0,,turn left
210.0,s,continue straight drive around any obstructing vehicles and turn left at the end of the road
211.0,s,Turn left  and then stop for a little bit before heading down the road
211.0,s,complete the turn then continue going straight
212.0,d,"slow down, and let the truck pass, then continue going straight"
212.0,d,Slow down for a little bit to avoid the truck and then continue driving down the road
212.0,d,Slow down and move to the right to avoid the front car hitting you when the vehicle in front of you starts to enter your lane from the left side.
213.0,s,slow down and stop at the intersection
213.0,,Stop right before the intersection.
218.0,d,wait for pedestrians
218.0,d,Do not move as long as there are individuals in front of you.
219.0,d,Stay stopped before the intersection if there are cars approaching from the left and right sides of the road.
220.0,ds,Slow down before the crosswalk to allow the individuals to cross the street.
220.0,ds,Slow down right before the intersection to allow the white vehicle fully make its turn. Then proceed as normal.
220.0,s,slow down and stop at the intersection
221.0,ds,Make the left turn once the group of individuals have crossed the crosswalk.
221.0,ds,At the intersection turn left when the pedestrians have finished crossing
221.0,d,turn left and wait for pedestrians
221.0,sd,Slow down and wait for the people to cross before turning left
222.0,d,Proceed forward if the traffic controller on the road gestures to move forward.
224.0,ds,Stop before the intersection to let all individuals cross the road. Stay stopped due to the red light at the intersection.
224.0,s,stop at the intersection
225.0,ds,Make a right turn once the stoplight turns green.
225.0,,turn right
225.0,sd,Stop at the stoplight and wait for the people to cross before turning right
227.0,s,stop at the intersection
228.0,ds,"Slow down and stop before the intersection if the stoplight is red, but proceed with normal speed once it turns green."
230.0,s,Slow down and move to the left a little to avoid the construction zone 
230.0,s,Switch to the left lane to avoid the constriction on the right lane.
230.0,s,slow down and move into the left lane to avoid hitting the traffic cones
230.0,s,go around road obstruction
230.0,ds,Slow down before approaching the crosswalk to allow all individuals to cross the street.
231.0,ds,stop in front of the zebra crossing and let all the pedestrians cross
231.0,ds,Stay stopped before the crosswalk as along as individuals cross it.
231.0,d,wait for walking pedestrians
234.0,d,turn right after the truck passes
234.0,ds,"Once the stoplight has turned green and once the truck has passed through the intersection, make a right turn. Complete the right turn even if there are individuals starting to cross the street."
234.0,s,Stop at the crosswalk and then turn right and continue going straight
234.0,,turn right
235.0,s,stop behind the stopped truck
236.0,d,Follow the truck in front of you while maintaining a safe distance.
237.0,s,"turn left to avoid hitting the parked truck, then stop at the intersection"
237.0,s,Move a little to the left to avoid the truck and then stop at the stoplight
237.0,ds,"Move to the left lane because the right lane is blocked by two cars, and stop right before the intersection if the stoplight is red."
238.0,s,Stop at the curb on the right side of the road right before the crosswalk.
238.0,s,pull up beside the curb
238.0,s,Slow down and move towards the curb on the right and then stop
238.0,,stop beside the curb
239.0,s,Stay stopped on the curb that is right before the crosswalk.
240.0,d,enter the left lane after all the vehicles pass
240.0,ds,"Once all individuals cross the crosswalk and once all vehicles from behind have passed, safely go back onto the road onto the leftmost lane."
240.0,,merge back into the road
240.0,s,Merge to the left lan and then continue straight
242.0,ds,Stay stopped before the intersection if the stoplight is red.
243.0,s,stop behind the stopped car
243.0,d,Slow down and stop right before approaching the vehicle in front.
244.0,d,Slow down and stop right before approaching the vehicle in front.
244.0,s,stop behind the stopped car
246.0,s,Merge to the left lane to avoid the stopped card and then continue straight
246.0,s,Switch to the left lane to avoid the parked vehicle on the right lane.
246.0,s,swtich to the left lane to avoid hitting parked car
247.0,s,switch to the right lane 
247.0,s,"After passing the intersection, switch to the right lane."
247.0,s,Keep going straight and the move to the right lane
248.0,ds,Stay stopped before the intersection if the stoplight is red.
249.0,s,Turn to the right and then continue going straight down the lane
249.0,ds,"Complete the right turn once all individuals have crossed the road, then proceed through the street but slowly come to a stop when you near the vehicle in front of you."
249.0,s,"right right, go straight and slow down near the intersection"
250.0,s,turn right then go straight
250.0,d,Wait for the pedestrians to cross and then turn to the right and the keep going straight
250.0,,turn right
250.0,ds,Complete the rtight turn once the crosswalk is clear and go straight.
251.0,d,Maintain a safe distance with the car in front of you
252.0,d,Come to a slow stop when approaching the vehicle in front of you
252.0,s,stop behind the stopped car
253.0,d,Proceed through traffic with a safe distance from the vehicle in front of you
253.0,d,"low down behind the stopped car, and start moving when the car starts driving"
254.0,s,slow down at the intersection
255.0,s,"stop at the intersection, then turn left"
255.0,,turn left
255.0,sd,Stop at the cross walk and then turn to the left after the gray car merges
255.0,ds,Make a full stop right before the intersection and turn left if there are no cars approaching from the left or right side.
256.0,ds,Switch to the rightmost lane and keep a safe distance behind the vehicles in that lane.
256.0,d,Take a slight right to avoid the trucks and stop behind the smaller truck
256.0,d,enter the right lane and stop behind the small truck
256.0,,switch lanes all the way to the right
257.0,s,Stay stopped as long as the vehicle in front of you is stopped.
258.0,s,Slightly go on the left edge of the lane to avoid hitting the construction that is partially on the right side.
259.0,,turn right
259.0,d,"Make a right turn once the bus has completed its turn in the intersection, and keep a safe distance from the vehicle since it has emergancy lights on."
259.0,ds,turn right at the intersection and slow down behind the bus
259.0,sd,turn right and the slow down behind the bus
260.0,ds,Stay stopped before the intersection if the stoplight is red.
262.0,d,wait for incoming pedestrians. turn right
262.0,sd,Turn right after the pedestrians pass
262.0,d,Make a right turn if there are no individuals crossing the street and if no cars are coming from the left side of the road.
262.0,d,once the pedestrian crosses turn right
263.0,d,"Slow down when the vehicle in front of you starts to turn, but proceed to normal speed once the vehicle is out of your lane."
268.0,s,Shift to the right lane
268.0,s,enter the right turning lane
268.0,ds,"Change to the right lane when it appears, and make a right turn while keeping a safe distance with the vehicle in front."
269.0,s,Turn left and then continue down the road
269.0,,Make a left turn and go straight.
269.0,s,turn left at the intersection and continue going on the road
270.0,s,stop at the intersection 
270.0,ds,"Make a full stop before entering the intersection. Once all cars from the left and right side have crossed the road and once the individual ahead crosses the street, proceed forward."
271.0,ds,"Before approaching the next stopped vehicle ahead, stop to let the vehicle approaching you pass by."
271.0,s,go around stationary vehicle and come to a complete stop
271.0,s,"Move around the vehicle in front by slightly going on the right lane, then switch back to the left lane."
271.0,s,Pass the stopped car and then stop
271.0,s,"swerve around the stopped car, then come to a stop behind the orange car"
272.0,s,"continue going straight, then turn left at the turn"
272.0,d,"Once the vehicle on the right lane has passed you, proceed to move forward"
272.0,s,Continue down the road and then take a left
272.0,,Make a left turn and go straight.
272.0,,turn left
273.0,s,"Briefly switch to the right lane to avoid the parked car in front, then switch back to the left lane."
273.0,s,swerve around the parked car
273.0,s,Shift to the right lane and then back to left lane and then back to the right lane
274.0,d,"Slow down when you see the individual crossing the road, but go to normal speed after."
275.0,s,"go straight, stop at the intersection"
275.0,s,Stop at the stoplight
276.0,d,When the stoplight is green go straight.
276.0,s,"After crossing the intersection, switch to the right lane."
277.0,s,Continue down the road and then take a right
278.0,,Make a right turn.
278.0,ds,"slow down to avoid hitting the scooter, then turn right at the intersection"
278.0,,turn right
278.0,ds,Slow down when passing by the motorcycle near the lane.
283.0,,Make a right turn and go straight.
283.0,,turn right
283.0,s,"turn right at the intersection, then stop at the next intersection"
283.0,s,Take a right and then stop at the stop sign
284.0,d,Make a left turn when the traffic controller gestures his arm to the left side and then go straight.
284.0,,turn left
284.0,s,turn left and then go straight
284.0,s,Take a left at the stop sign and then continue going down road
285.0,ds,"After almost crossing the intersection, slightly move to the left side of the road to avoid the individual walking toward the vehicle. Go to the right lane after"
286.0,s,Make a right turn into the middle lane and go straight.
286.0,s,"turn right, then go straight"
286.0,,turn right
286.0,s,Take a right and then continue down the road
287.0,s,Go straight but stop when before entering the intersection when you see the red stoplight.
288.0,s,stop at the intersection
292.0,s,Switch to the left lane to avoid the obstruction on the road.
292.0,s,slide into the left lane to avoid hitting the parked vehicle
292.0,s,Shift to the left lane to avoid the stopped vehicles and then continue down the road
292.0,,go around road obstruction
293.0,s,lide to the right lane to avoid hitting the parked car
293.0,s,Shift to the right lane and then continue down the road
293.0,d,"After passing the mail truck, switch to the right lane."
293.0,s,Switch to the right lane again after passing all of the construction on the right side.
294.0,s,Stop at the intersection
294.0,s,stop at the intersection
296.0,s,turn right ar the intersection when it is safe
296.0,,turn right
296.0,d,Make a right turn when the stoplight turns green.
296.0,s,Take a right turn
297.0,d,wait for walking pedestrians
297.0,d,"wait for the pedestrians to cross, then turn right"
297.0,d,Wait for the pedestrians to pass and then continue down the road
297.0,ds,"Stop before the crosswalk to allow individuals to cross the road, then continue one they have passed."
298.0,s,Make a right turn at the intersection.
298.0,s,turn right at the intersection
298.0,s,Turn right and then continue down the road
298.0,,turn right
300.0,s,Shift to the left lane
300.0,s,Switch to the left lane when it appears.
301.0,s,stop at the intersection
303.0,s,stop at the intersection behind the truck
305.0,,Change to the right lane.
305.0,s,slide into the right lane
305.0,sd,Shift to the right lane and then left the truck pass behind and then continue down the road
317.0,s,swerve around the parked vehicle
317.0,s,Go around the vehicle in front of you by briefly switching to the right lane and then back to the left lane.
317.0,s,go around road obstruction
317.0,ds,"Make the second left turn, but only cross once all pedestrians have crossed the crosswalk."
317.0,d,Shift to the right to let the blue bus pass and then take a right turn
318.0,ds,"After the vehicle from the right side has passed, briefly switch to the right lane to avoid the parked bus on the left lane."
318.0,s,swerve around the parked vehicle
318.0,d,Shift to the right to let the yellow bus pass and then continue
318.0,s,go around road obstruction
321.0,s,"when the light turns green, go straight"
324.0,s,"slow down to avoid hitting the car in front, then continue driving"
328.0,s,Take a right turn and then take another right
328.0,s,turn right go straight then turn right again at the intersection
328.0,,Make another right turn
328.0,,Make a right turn
328.0,,"turn right, turn right"
329.0,s,"urn left and enter the road, continue driving straight onthe road."
329.0,s,Briefly move to the left side of the road to go around the parked vehicle in front of you.
329.0,s,go around road obstruction
330.0,s,"turn right, go straight then pull over to the side of the road and come to a stop"
330.0,s,Turn to the left and then stop at the curb
330.0,,stop beside the curb
330.0,s,Make a left turn and stop at the curb in front of the building on the right.
331.0,d,Pass the intersection once all cars have passed by
331.0,s,Take a left turn and then continue down the road
331.0,d,turn right at the intersection once all the vehicles have passed and it is safe to turn
332.0,d,Wait for the pedestrians to pass and then continue down the road
332.0,d,"once all the pedestrains pass, drive straight ahead"
332.0,ds,Move forward once the individuals have crossed the crosswalk
332.0,d,wait for pedestrians 
345.0,s,turn right and then go straight
345.0,,turn right
345.0,s,Take a left turn and then continue down the road
345.0,ds,Make a right turn when the stoplight turns green and continue down the road
346.0,s,when the signal turns green continue going straight
347.0,s,stop at the intersection and go when the light turns green
347.0,s,"Briefly switch to the right lane to avoid the cars in front of you, then switch back to the original lane."
347.0,sd,Shift to the left lane and then stop at the stoplight then continue when the lights turn green
348.0,,turn right
348.0,s,turn right and then slide to the left lane then turn left at the intersection
348.0,s,Turn to the right and then shift to the left lane and then take a left turn slowly
348.0,,Make a right turn
348.0,s,Switch to the left lane and make the first left turn
349.0,s,go around road obstruction
349.0,s,Shift to the opposing lane to avoid the white car and then move back to the left lane
349.0,s,swerve around the parked car and continue going straight
349.0,ds,"Once the vehicle in front of you has passed, briefly move to the right lane, and move back to the left lane once you have passed the parked car."
350.0,s,Take a left turn
350.0,s,turn left at the T-junction
350.0,s,Make the first left turn possible
350.0,,turn left
351.0,,turn left
351.0,s,Make a left turn after the stopsign.
351.0,s,"complete the left turn, then stop at the intesection and continue to drive."
351.0,,turn left at the end of the road
351.0,s,Take a left turn at the end of the street
352.0,s,complete the left turn and stay on the current road.
352.0,s,Take a left turn and then continue down the road
352.0,d,follow the truck ahead
353.0,s,Stop at the stoplights
353.0,s,"go straight, then stop at the intersection"
355.0,d,when the construction worker takes the cone in front of the car and gets out the way drive forward
355.0,ds,"Once the construction man removed the cone in the middle of the lane, continue forward."
355.0,d,Wait for the cone to be removed by the worker and then continue down the road
355.0,s,continue straight once the cone is removed
355.0,ds,wait till the cone is removed by the worker
356.0,s,"go straight, stop at the intersection"
358.0,sd,Take a right turn after all the cars and people pass
361.0,s,Merge on to the road and take a left turn
361.0,,turn left merging onto the road when there is no oncoming traffic
361.0,s,"stop at the intersection, then turn left"
361.0,,turn left
362.0,,turn left
362.0,,continue straight and take the first left
362.0,s,slow down at the intersection then turn left
362.0,s,Turn left at the intersection
362.0,s,Make the left turn that is after the speedbump.
363.0,,turn right
363.0,s,Turn right at the intersection and then continue down the road
363.0,s,Make a right turn and stay in the right lane
363.0,s,turn right at the intersection 
363.0,s,turn right at the t-junction and stay in the rightmost lane
365.0,s,drive around the park truck 
365.0,s,"Before approaching the parked vehicle in front, briefly stay between the middle of the road. Once passed the parked vehicle, go back to the left lane."
365.0,s,Shift to the right to avoid the parked truck and the move back
365.0,s,move into the right lane slightly to avoid hitting parked truck
366.0,d,"when the car infront moves ahead, move into the intersection, then check oncoming traffic, once oncoming traffic is clear turn right."
366.0,sd,Turn right after all the cars pass
366.0,ds,Make a right turn at the intersection once all cars have passed
366.0,d,when there are no approaching cars turn right
366.0,,turn right
367.0,,turn right into the connecting road
367.0,s,turn right at the intersection
367.0,,turn right
367.0,s,Make the first possible right turn
367.0,s,Turn to the right and then continue down the road
368.0,s,Stop at the stoplights
368.0,s,stop at the intersection
369.0,sd,Turn to the right after all the cars pass
369.0,d,when there are no approaching vehicles turn right
369.0,s,Make a right turn at the intersection
369.0,s,"top in the middle of the intersection, then turn right"
369.0,,turn right
370.0,,merge into the left lane
370.0,s,Switch into the left lane after passing the construction cones.
371.0,s,stop at the intersection
371.0,s,Stop at the intersection
372.0,,Make a left turn
372.0,s,Make a right turn at the intersection
372.0,,turn left
372.0,sd,Take a left turn when all the cars pass
372.0,s,at the stop sign turn left
372.0,s,turn left at the intersection then stop near the dotted line
373.0,d,stop to avoid hitting the minivan
373.0,d,wait for the car to finish parking
374.0,d,move once the car finishes parking
377.0,d,slide in the left turning lane and then turn at the intersection
377.0,s,Shift to the left lane and then take a left'
377.0,s,turn left after the caution sign
377.0,s,Switch to the left lane when the lane markings appear and then make the left turn
378.0,,Switch to the right lane and cotinue straight
379.0,s,Take a left lane and then shift slightly to the right then back to the same lane and then continue down the road
379.0,s,go around road obstruction
379.0,s,"Before approaching the parked vehicle in front, briefly stay between the middle of the road. Once passed the parked vehicle, go back to the left lane."
379.0,d,turn left at the intersection
380.0,ds,go around road obstruction but wait for oncoming traffic
380.0,s,stop to avoid hitting stopped car
380.0,d,Stop behind the black car and then wait for the blue car to pass
380.0,d,wait until there are no approaching vehicles 
380.0,ds,Stop before the parked cars and switch to the right lane when the vehicles in front pass.
381.0,s,Take a right turn and then continue down the road and then take a right turn
381.0,,turn right here and continue straight and take the next right
381.0,,turn right
381.0,s,Make a right turn at the intersection
381.0,s,"complete the right turn, then take a right at the next intersection"
382.0,,Make a left turn
382.0,,turn left here 
382.0,,cmplete the left turn
382.0,s,Take a left turn and then continue down the road
383.0,s,turn left at the fork in the road and continue straight
383.0,,turn left
383.0,s,Take a left turn and then merge onto the street
383.0,,Make a left turn and continue
383.0,,turn right at the intersection
383.0,s,turn left at the intersection
384.0,,turn right
384.0,s,Stop at the intersections and then take a right turn
384.0,s,at the intersection turn right
384.0,s,Make a right turn after stopping at the stopsign.
384.0,s,"stop at the intersection, then turn right"
385.0,,"turn left, turn left"
385.0,s,Make a left turn immediately after passing the blue sign on the left.
385.0,,Make a left turn
385.0,s,turn left at the fork
385.0,s,turn left at the intersection
385.0,s,Take a left turn and then take another left turn
386.0,,turn left
386.0,s,stop at the intersection then turn left
386.0,s,Make a left turn once the stoplight turns green.
386.0,,turn left at the intersection
386.0,s,stop at stop light and then take a left turn
388.0,d,stop behind the blue car then move forward slowly mainting a distance
391.0,s,Take a right turn and then continue down the road
391.0,s,turn right at the intersection
391.0,ds,Make a right turn at the intersection that has flashing stoplights.
391.0,,turn right at the intersection
391.0,,turn right
392.0,s,Shift to the right lane
392.0,,continue after the intersection
392.0,s,slide into the right turning lane
392.0,s,"After passing the white bus on the white lane, switch to the right lane."
393.0,s,turn right at the intersection
393.0,,turn right
393.0,s,Take a right turn and then continue down the road
393.0,,Make a right turn and continue straight
397.0,,Turn left when there are no incoming cars
397.0,,turn left
397.0,ds,Make a left turn once it is clear it in the intersection
397.0,ds,"move forward slowly, at the intersection turn left when oncoming car turns right"
397.0,sd,Take left turn after all the cars have passed
398.0,d,Overtake the vehicle in front of you once they hand gesture to you to pass
398.0,sd,Shift to the opposing lane to pass the white car and then move back to the right lane
398.0,d,go around moving vehicle
398.0,d,swerve around the car in front of you
399.0,d,Do not take a right turn until all cars have passed.
399.0,s,stop at the intersection
400.0,d,Do not take a right turn until all cars have passed.
401.0,s,turn right at the intersection
401.0,,turn right 
401.0,sd,Take a right turn after all the cars have passed and then continue down the road
401.0,d,Make the right turn at the intersection once all vehicles have passed.
401.0,,turn right
405.0,s,turn right at the intersection
405.0,s,Make a right turn at the intersection and stay on the leftmost lane.
405.0,,turn right
405.0,s,Shift to the right lane and then take a right
405.0,,turn right at the intersection 
408.0,s,go around road obstruction
408.0,ds,"Switch to the right lane when you see the vehicle in front of you has emergancy blinkers on, then switch back to the left lane once you have passed"
408.0,s,Slow down behind the gray car and then shift to the right and pass the gray car then move back to the left lane
408.0,s,drive around the stopped gray car
414.0,,Make a right turn
414.0,s,turn right at the intersection
414.0,,Turn right into the connecting street and follow the white van
414.0,,turn right
414.0,s,Take a right turn and continue down the road
415.0,s,tn right at the intersection
415.0,s,Take a right turn and continue down the road
417.0,s,Shift to the opposing lane to pass the white car then move back to the left lane
417.0,s,"Before approaching the parked white vehicle in front, switch to the right lane and after passing switch back to the left lane"
417.0,s,swerve around the parked car
417.0,s,drive around the parked white van when there are no incoming vehicles
417.0,s,go around road obstruction
418.0,s,stay on the current road
419.0,s,Stop at the stopsign
419.0,s,complete the left turn then stop at the intersection
419.0,s,Stop at the stop sign
420.0,,keep to the left and stay in the left turn only lane
420.0,s,"follow the road, then stop at the intersection"
420.0,,turn left
420.0,s,Switch to the left lane when it appears
421.0,,Make a left turn
421.0,s,turn left at the intersection
421.0,ds,Stop right before the tollgate if it is closed and continue when it opens
421.0,s,Take a left turn at the end of the street
421.0,,turn left 
421.0,,turn left 
422.0,d,"Briefly switch to the right lane to avoid the cars in front of you, then switch back to the original lane."
422.0,s,drive around the parked car
422.0,s,Shift to the right to pass the parked black car then head to the intersection
422.0,s,go around the road obstruction
423.0,,turn left
423.0,s,"stop at teh intersection, then turn left at the intersection"
423.0,ds,Stop at the intersection and make a left turn when it is clear
423.0,sd,Wait for the cars to pass then take a left turn
423.0,,turn left at the intersection 
425.0,s,"turn left, then turn left at the next intersection"
425.0,d,turn left at the fork in the road and turn left where the bus is coming from
425.0,,Make a left turn
425.0,,Make a left turn again
425.0,,turn left
425.0,s,Take a left turn and then merge on to the lane
426.0,,turn left
426.0,,complete the left turn
426.0,s,Take a left turn and then continue on the road
426.0,,turn left here and continue
427.0,d,stop behind the car in front of you
427.0,s,get behind the car ahead of you
428.0,,turn right
428.0,,continue on the road and keep right
428.0,,slight right at the fork and continue straight 
428.0,d,continue moving forward when the bus goes out of th way
429.0,s,Take a right turn and then continue on the road
435.0,s,turn right at the intersection and merge onto the far left lane immediately
435.0,,turn right at the intersection and merge into the left turn lane
435.0,,turn right
435.0,d,turn right once the car passes then stop of the next intersection
435.0,s,Stop at the intersection then take a right then stop at the stoplight
435.0,ds,Make a right into the far left lane after the car on the left has crossed the intersection.
436.0,s,Take a left and then shift to the right lane and stop at the stoplight
436.0,sd,turn left here and when no approaching cars merge onto the right lane
436.0,d,complete the left tunr and stop behind the parked car
436.0,,turn left
436.0,,turn left at the intersection and merge into the right lane
436.0,s,Turn into the far left lane.
436.0,d,Switch to the right lane after the black car on the right has passed.
440.0,s,Come to a stop at the red stopsign.
440.0,s,stop at the stop sign
441.0,,slide into the right lane
441.0,,merge onto the right lane
441.0,s,Stop at the stop signs then continue 
441.0,s,"After crossing the intersection, change to the right lane."
441.0,,switch to right lane
443.0,d,drive around the stopped black truck ahead of you when there are no approaching cars from the other lane
443.0,s,go around road obstruction
443.0,sd,when there are no approaching vehicles drive around the stopped truck
443.0,d,"stop behind the stopped truck, then swerve around the truck, avoid hitting oncomig traffic"
443.0,sd,Stop behind the truck and then wait for the opposing cars to pass then pass the stopped truck
443.0,ds,"Once all cars from the left side pass you, briefly go onto the left lane to go around the stopped vehicle in front."
446.0,,turn left at the intersection and left again at the next intersection
446.0,,Make a left turn at the intersection
446.0,s,"make a left turn at the intersection, then make another left turn at the next intersection"
446.0,s,Turn left and then take the next left
446.0,,Make the next left turn possible
446.0,,turn left and turn left again at the intersection 
446.0,,"turn left, turn left"
447.0,,turn left here
447.0,,turn left into the parking lot
447.0,,turn left
447.0,d,Make a left turn once all vehicles from the left side have passd.
447.0,sd,Take a left after waiting for the cars to pass
447.0,d,"turn left, wait for the oncoming traffic to stop, then complete the left turn"
448.0,s,move into the left lane
448.0,s,follow the road to the left
449.0,s,Turn to the left at the dead end
449.0,s,Make a left turn when the road comes to an end.
449.0,s,turn left at the end of the road
449.0,s,turn left near the barricades
449.0,,continue on this road turn left at the end of the road
449.0,,turn left
451.0,s,Take a right turn and then continue down the road
451.0,,turn right at the intersection 
451.0,,turn right
451.0,s,turn right at the intersection
451.0,,turn right here
452.0,,turn right
452.0,s,turn right at the stop sign
452.0,,at the stop sign run right 
452.0,s,Stop at the stop signs then turn to the right
452.0,,Make a right turn
452.0,s,Stop at the stopsign
452.0,s,stop at the intersection then continue
453.0,s,Sop at the stopsign
453.0,d,Make a left turn once all cars have passed the intersection
453.0,s,Turn to the right and stop at the stop signs
453.0,,turn right
453.0,,turn right here
453.0,s,trn right and stop at the intersection
454.0,s,Turn to the left and the continue straight
454.0,s,"turn left, go straight"
454.0,,turn left at the stop sign 
454.0,sd,turn left at the stop sign continue straight and drive away from the stopped truck and pedestrian
454.0,,turn left
456.0,s,turn right at the roundabout
456.0,s,Make a right turn at the intersection
456.0,,keep right at the intersection
456.0,s,Take a right turn and then continue going straight
457.0,s,Stop at the stop sign
457.0,s,turn right and stop at the intersection
457.0,s,Stop at the stopsign
457.0,,turn right
457.0,,turn right here
458.0,,turn left
458.0,s,trn left at the intersection
458.0,s,Turn to the left and then continue straight
458.0,s,turn left at the stop sign
458.0,,Make a left turn and continue straigt
461.0,s,Make a right turn into the middle lane
461.0,,turn right
461.0,,turn right at the intersection
461.0,,turn right here
461.0,s,turn left at the intersection
465.0,d,Go straight when the stoplight turns green
468.0,d,Go straight when the stoplight turns green
474.0,,change lanes to the right
474.0,s,slide into the right lane
474.0,s,Shift to the right lane and then continue
474.0,s,Move into the far right lane after passing the big white vehicle on the right
474.0,s,drive around the parked car
475.0,,turn right
475.0,,turn right at the intersection
475.0,,Make a right turn at the intersection
475.0,s,turn right at the intersection
475.0,ds,turn right at the intersection and slow to avoid hitting the car in front 
475.0,s,Take a right turn and then stop behind the black car
476.0,d,Make a right turn at the green stoplight
476.0,,turn right at the intersection
476.0,s,Take a right turn and then continue
476.0,,turn right
476.0,s,turn right at the intersection and go straight
476.0,s,turn right at the intersection
477.0,d,stop behind the black car at the intersection
479.0,d,follow the black car in front of you 
479.0,s,Shift to the left lane and then stop
479.0,s,Switch into the left turning lane when it appears
500.0,,Make a left turn at the intersection
500.0,,stay in the left turn lane and at the signal turn left
500.0,ds,Turn left 
500.0,s,turn left at the intersection 
500.0,s,turn left at the intersection
500.0,s,Take a left turn at the stoplights
500.0,,turn left
501.0,ds,Slow down to avoid hitting pedestrian
501.0,,continue on this road
502.0,s,Take a right turn and then continue down the road and stop behind the black car
502.0,,turn right
502.0,,turn right at the intersection
502.0,d,Proceed with caution avoiding the pedestrian and slow down to maintain a safe distance behind the vehicle ahead
504.0,d,Follow vehicle ahead and stop to maintain a safe distance
505.0,d,Follow the vehicle ahead
507.0,s,slow down near the construction zone
507.0,d,Be cautious of the pedestrians on the road and stay on the left side of the lane
507.0,d,"Following the vehicle ahead, proceed with caution maintaining a safe distance to avoid hitting the two pedestrians"
507.0,d,follow the road slow down for pedestrians
508.0,s,exit the roundabout on the second exit 
508.0,,at the roundabout take the second exit
508.0,,go straight at the roundabout
508.0,s,cross the round about
510.0,,turn left
510.0,s,Take a left turn at the dead end and then continue down the road
510.0,,turn left
510.0,,Make a left turn and go straight
510.0,,turn left here
510.0,s,Make a left turn
510.0,,take a left here
512.0,,turn right
512.0,,keep right and take the first right
512.0,s,Take a right turn and then continue down the road
512.0,,turn right
512.0,s,continue right
513.0,s,Make a right turn
513.0,,turn right here
513.0,s,Take a right turn and then continue down the road
513.0,s,turn right at the intersection
513.0,,Make a right turn and go straight
513.0,,turn right
514.0,ds,"When the stoplight is green, attempt to make a left turn while"
514.0,d,wait for the oncoming traffic to pass
514.0,d,Slowly move forward and wait for oncoming traffic to pass
514.0,,turn right
515.0,s,Stop behind the gray car
515.0,ds,Continue straight and stop at a safe distance behind the car ahead
515.0,s,go straight and stop behind the parked car
517.0,d,follow the gray car until the intersection and then continue going straight
517.0,ds,Continue straight while maintaining a safe distance between the car ahead
518.0,,Make a left turn at the internsection once it is clear.
518.0,d,"stop at the intersection, turn right and then swerve around the car to go straight"
518.0,,turn left at the traffic light
518.0,d,"turn left, go around the vechile"
518.0,d,Turn left. Slow down to avoid the car pulling into traffic and go around when it's stopped. Stop behind the loading car
518.0,sd,turn left when there are no approaching vehicles 
518.0,sd,take a left turn and then shift to the left slightly and stop behind the people unloading the car
520.0,d,Slow down to let the vehicle ahead turn 
521.0,ds,Slow down before the crosswalk to allow the pedestrians to cross
521.0,d,"Slow down to let the pedestrians cross, continue straight when all pedestrians aren't an obstacle on the lane"
521.0,d,Slowdown to allow the people to cross the crosswalk
522.0,s,Take the roundabout and then continue going straight
523.0,ds,In the roundabout take the second exit
523.0,d,follow the car ahead through the roundabout 
523.0,,cross the round about
523.0,,go straight at the roundabout
524.0,d,Switch into the right lane before appraoching the car ahead of you
524.0,,go straight
524.0,d,"Follow the vehicle ahead, and cautiously go around the vehicle that's turning left"
524.0,d,Shift to the right of the white car and then continue going straight
525.0,s,Turn right
525.0,,turn right
525.0,s,Take a right and then continue going straight and shift to the opposing lane
525.0,,turn right here
525.0,,Make a right turn and go straight
525.0,,turn right here
525.0,s,turn right at the intersection
526.0,s,Shift to the opposing lane to avoid the cars on the right
527.0,ds,"Continuing straight, slow down when approaching the truck stopped in the road"
527.0,s,Go straight and then stop right before the yellow truck
528.0,d,drive around the parked yellow truck when there are no approaching cars
528.0,s,Move to the left of the yellow truck and then go back to the right lane
528.0,ds,Proceed with caution going around the trucks stopped on the road
528.0,d,"wait for the black car to pass, then pass the truck and slide into the right lane"
528.0,s,Briefly go to the left side of the road to avoid the parked vehicle in front
528.0,s,go around the vehicle obstructing the road
529.0,s,Stay on the left sides of the lane to avoid hitting the cars on the right side
529.0,s,Shift slightly to the opposing lane to avoid the cars parked to the right and then continue going straight
530.0,,Stop at the stopsign
530.0,s,Shift to the opposing lane to avoid the cars on the right and stop at the stop sign
530.0,s,stop at the intersection
531.0,s,Make a right turn and change one lane to the left
531.0,,turn right
531.0,,turn right
531.0,s,Take a right turn and then continue going straight and shift to the left lane
531.0,,Go into the left most lane when you see the markings on the row
531.0,,Make a right turn and go straight
532.0,s,Stop at the intersection and allow the other cars to pass
532.0,,stop at the intersection
533.0,s,"stop at the intersection, then continue to go straight"
533.0,s,Stop at the intersection and then continue going straight and take a slight left
534.0,s,Move to the center of the lane and then back to the right lane to avoid the white truck
534.0,s,"Continue straight. Cautiously go around the truck to proceed straight, going into the oncoming lane shortly"
534.0,s,drive around the parked truck and continue 
534.0,s,swerve around the parked truck
534.0,s,Briefly go on the left side of the road to pass the parked vehicle on your lane
535.0,,Continue to the intersection while going around the construction debris
535.0,s,Take a left turn and then shift slightly to the left to avoid the construction zone
535.0,s,avoid the traffic cones.
535.0,s,go around the road obstructions
536.0,d,Make a right turn when the stoplight turns green
